MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
XGBClassifier_MutualInfo_25_RandomUnderSampler,9.0,0.7750000000000001,0.34782608695652173,0.76,0.25,0.7666666666666667,1.0,0.7506349206349207,0.4,0.7833333333333333,0.7444444444444446,0.7666666666666666,0.5833333333333334
SVC_MutualInfo_25_RandomUnderSampler,9.0,0.6857142857142856,0.30434782608695654,0.67,0.23809523809523808,0.7166666666666667,1.0,0.6857142857142857,0.38461538461538464,0.7000000000000001,0.7444444444444445,0.6833333333333332,0.5555555555555556
RandomForestClassifier_RFE_25_ADASYN,6.0,0.9310344827586207,0.8260869565217391,0.9465476190476192,1.0,0.9161904761904761,0.2,0.9285960061443934,0.3333333333333333,0.9561904761904761,0.7444444444444445,0.93,0.6
XGBClassifier_RFE_20_SMOTE-TOMEK,6.0,0.8563218390804597,0.6521739130434783,0.8044191919191919,0.3333333333333333,0.9723809523809525,0.6,0.8766210366210366,0.42857142857142855,0.9346666666666665,0.7444444444444445,0.8542857142857143,0.6333333333333333
SVC_MutualInfo_10_ADASYN,0.0,0.8666666666666666,0.7391304347826086,0.8138286893704851,0.4,0.9625,0.4,0.881232492997199,0.4,0.945579365079365,0.7444444444444445,0.8645833333333333,0.6166666666666667
SVC_MutualInfo_10_None,6.0,0.7573099415204678,0.6956521739130435,0.44000000000000006,0.25,0.16666666666666666,0.2,0.21000000000000002,0.2222222222222222,0.5157142857142858,0.7444444444444445,0.5357142857142857,0.5166666666666667
RandomForestClassifier_MutualInfo_10_RandomUnderSampler,9.0,0.8071428571428572,0.5217391304347826,0.8533333333333333,0.3125,0.7666666666666666,1.0,0.7822222222222222,0.47619047619047616,0.9083333333333334,0.7444444444444445,0.7916666666666666,0.6944444444444444
RandomForestClassifier_MutualInfo_20_SMOTE-TOMEK,6.0,0.9521839080459771,0.8260869565217391,0.9733333333333334,0.6666666666666666,0.9314285714285715,0.4,0.95105216622458,0.5,0.9848888888888888,0.7444444444444445,0.9519047619047619,0.6722222222222223
SVC_MutualInfo_15_RandomUnderSampler,9.0,0.7142857142857142,0.391304347826087,0.7866666666666666,0.2631578947368421,0.65,1.0,0.6809523809523809,0.4166666666666667,0.7833333333333333,0.7444444444444445,0.7,0.6111111111111112
RandomForestClassifier_MutualInfo_20_None,6.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.7076190476190476,0.7444444444444445,0.5,0.5
XGBClassifier_MutualInfo_20_RandomUnderSampler,7.0,0.7535714285714287,0.5652173913043478,0.8033333333333333,0.3076923076923077,0.7333333333333333,0.8,0.7457142857142858,0.4444444444444444,0.7541666666666668,0.7444444444444445,0.7583333333333332,0.65
XGBClassifier_RFE_20_SMOTE,6.0,0.8563218390804597,0.6521739130434783,0.8044191919191919,0.3333333333333333,0.9723809523809525,0.6,0.8766210366210366,0.42857142857142855,0.9346666666666665,0.7444444444444445,0.8542857142857143,0.6333333333333333
XGBClassifier_MutualInfo_15_BorderlineSMOTE,6.0,0.9177011494252874,0.8260869565217391,0.9257918552036198,0.6,0.9161904761904763,0.6,0.9179966106690245,0.6,0.9495238095238097,0.7333333333333334,0.9166666666666667,0.7444444444444445
XGBClassifier_MutualInfo_10_SMOTE,9.0,0.8629885057471263,0.6956521739130435,0.8888817065287654,0.25,0.8352380952380951,0.2,0.8590315495487909,0.2222222222222222,0.9281904761904762,0.7333333333333334,0.8628571428571428,0.5166666666666667
RandomForestClassifier_MutualInfo_10_ADASYN,6.0,0.8896551724137931,0.8260869565217391,0.9083333333333332,1.0,0.8742857142857143,0.2,0.8824987506246877,0.3333333333333333,0.962857142857143,0.7333333333333334,0.8890476190476193,0.6
XGBClassifier_RFE_10_None,2.0,0.8368421052631578,0.8260869565217391,0.55,1.0,0.5333333333333333,0.2,0.518095238095238,0.3333333333333333,0.7840476190476191,0.7333333333333334,0.7266666666666667,0.6
XGBClassifier_MutualInfo_15_RandomUnderSampler,9.0,0.725,0.391304347826087,0.8166666666666668,0.2631578947368421,0.6,1.0,0.6566666666666666,0.4166666666666667,0.7375,0.7333333333333334,0.7166666666666666,0.6111111111111112
